Entrez_ID	Gene_Symbol	Description
100885850		PTGES3L-AARSD1 readthrough
10089		potassium two pore domain channel subfamily K member 7
1009		cadherin 11
10090		uronyl 2-sulfotransferase
10092		actin related protein 2/3 complex subunit 5
10093		actin related protein 2/3 complex subunit 4
10094		actin related protein 2/3 complex subunit 3
10095		actin related protein 2/3 complex subunit 1B
10096		actin related protein 3
10097		actin related protein 2
10098		tetraspanin 5
10099		tetraspanin 3
100996928		FMC1-LUC7L2 readthrough
100996939		PIGY upstream open reading frame
101		ADAM metallopeptidase domain 8
1010		cadherin 12
10100		tetraspanin 2
10101		NUBP iron-sulfur cluster assembly factor 2, cytosolic
10102		Ts translation elongation factor, mitochondrial
10103		tetraspanin 1
10105		peptidylprolyl isomerase F
10106		CTD small phosphatase 2
10107	Failed_10107	
10109		actin related protein 2/3 complex subunit 2
10110		serum/glucocorticoid regulated kinase 2
10111		RAD50 double strand break repair protein
10112		kinesin family member 20A
10113		prolactin regulatory element binding
10114		homeodomain interacting protein kinase 3
10116		fem-1 homolog B
1012		cadherin 13
10120		actin related protein 1B
10121		actin related protein 1A
10123		ARF like GTPase 4C
10124		ARF like GTPase 4A
10125		RAS guanyl releasing protein 1
10126		dynein axonemal light chain 4
10127		zinc finger protein 263
10128		leucine rich pentatricopeptide repeat containing
10129		FRY microtubule binding protein
1013		cadherin 15
10130		protein disulfide isomerase family A member 6
10131		TNF receptor associated protein 1
10133		optineurin
10134		B cell receptor associated protein 31
10135		nicotinamide phosphoribosyltransferase
10136		chymotrypsin like elastase 3A
10137		RNA binding motif protein 12
10138		YY1 associated factor 2
10139		ARF related protein 1
1014		cadherin 16
10140		transducer of ERBB2, 1
10142	Failed_10142	
10143		C-type lectin domain family 3 member A
10144		family with sequence similarity 13 member A
10146		G3BP stress granule assembly factor 1
10147		SURP and G-patch domain containing 2
10148	Failed_10148	
10149		adhesion G protein-coupled receptor G2
1015		cadherin 17
10150		muscleblind like splicing regulator 2
10152		abl interactor 2
10153		CCAAT enhancer binding protein zeta
10154		plexin C1
10155		tripartite motif containing 28
10156		RAS p21 protein activator 4
10157		aminoadipate-semialdehyde synthase
10158		PDZK1 interacting protein 1
10159		ATPase H+ transporting accessory protein 2
1016		cadherin 18
10160		FERM, ARH/RhoGEF and pleckstrin domain protein 1
10161		lysophosphatidic acid receptor 6
10162		lysophosphatidylcholine acyltransferase 3
10163		WASP family member 2
10164		carbohydrate sulfotransferase 4
10165		solute carrier family 25 member 13
10166		solute carrier family 25 member 15
10168	Failed_10168	
10169	Failed_10169	
1017	Failed_1017	
10170		dehydrogenase/reductase 9
10171		RNA terminal phosphate cyclase like 1
10172		zinc finger protein 256
10174		sorbin and SH3 domain containing 3
10175		cornichon family member 1
10178		teneurin transmembrane protein 1
10179		RNA binding motif protein 7
1018		cyclin dependent kinase 3
10180		RNA binding motif protein 6
10181		RNA binding motif protein 5
10184		LHFPL tetraspan subfamily member 2
10186		LHFPL tetraspan subfamily member 6
10188		tyrosine kinase non receptor 2
10189		Aly/REF export factor
1019		cyclin dependent kinase 4
10190		thioredoxin domain containing 9
10193		ring finger protein 41
10194	Failed_10194	
10195		ALG3 alpha-1,3- mannosyltransferase
10196		protein arginine methyltransferase 3
10197	Failed_10197	
10198		M-phase phosphoprotein 9
10199		M-phase phosphoprotein 10
102		ADAM metallopeptidase domain 10
1020		cyclin dependent kinase 5
10200	Failed_10200	
10201		NME/NM23 nucleoside diphosphate kinase 6
10202	Failed_10202	
10203		calcitonin receptor like receptor
10204		nuclear transport factor 2
10205		myelin protein zero like 2
10206		tripartite motif containing 13
10207		PATJ crumbs cell polarity complex component
10208		ubiquitin specific peptidase like 1
10209		eukaryotic translation initiation factor 1
1021		cyclin dependent kinase 6
10210	Failed_10210	
10211		flotillin 1
10212		DExD-box helicase 39A
10213		proteasome 26S subunit, non-ATPase 14
10214		SSX family member 3
10215		oligodendrocyte transcription factor 2
102157402		adenylate kinase 6
10216		proteoglycan 4
10217		CTD small phosphatase like
10218		angiopoietin like 7
10219		killer cell lectin like receptor G1
1022		cyclin dependent kinase 7
10220		growth differentiation factor 11
10221		tribbles pseudokinase 1
10223		glycoprotein A33
10224		zinc finger protein 443
10225		CD96 molecule
10226		perilipin 3
10227		major facilitator superfamily domain containing 10
10228		syntaxin 6
10229		coenzyme Q7, hydroxylase
10231		regulator of calcineurin 2
10232		mesothelin
10233		leucine rich repeat containing 23
10235	Failed_10235	
10236		heterogeneous nuclear ribonucleoprotein R
10237		solute carrier family 35 member B1
10238		DDB1 and CUL4 associated factor 7
10239		adaptor related protein complex 3 subunit sigma 2
1024		cyclin dependent kinase 8
10240		mitochondrial ribosomal protein S31
10241		calcium binding and coiled-coil domain 2
10242	Failed_10242	
10243		gephyrin
10244		Rab9 effector protein with kelch motifs
10245		translocase of inner mitochondrial membrane 17B
10246		solute carrier family 17 member 2
10247		reactive intermediate imine deaminase A
10248		POP7 homolog, ribonuclease P/MRP subunit
10249		glycine-N-acyltransferase
1025		cyclin dependent kinase 9
10250	Failed_10250	
10251		sprouty RTK signaling antagonist 3
10252	Failed_10252	
10253		sprouty RTK signaling antagonist 2
10254		signal transducing adaptor molecule 2
10256		connector enhancer of kinase suppressor of Ras 1
10257		ATP binding cassette subfamily C member 4 (PEL blood group)
1026		cyclin dependent kinase inhibitor 1A
10260		DENN domain containing 4A
10261		immunoglobulin superfamily member 6
10262		splicing factor 3b subunit 4
10263		cyclin dependent kinase 2 associated protein 2
10265		iroquois homeobox 5
10266		receptor activity modifying protein 2
10267		receptor activity modifying protein 1
10268		receptor activity modifying protein 3
10269		zinc metallopeptidase STE24
1027		cyclin dependent kinase inhibitor 1B
10270	Failed_10270	
10272		follistatin like 3
102724473		G antigen 10
10273		STIP1 homology and U-box containing protein 1
10274		STAG1 cohesin complex component
10276	Failed_10276	
10277		ubiquitination factor E4B
10278		embryonal Fyn-associated substrate
10279	Failed_10279	
1028		cyclin dependent kinase inhibitor 1C
10280		sigma non-opioid intracellular receptor 1
10281		Down syndrome critical region 4
10282	Failed_10282	
10283		CWC27 spliceosome associated cyclophilin
10284		Sin3A associated protein 18
10285		survival motor neuron domain containing 1
10286		BCAS2 pre-mRNA processing factor
10287		regulator of G protein signaling 19
10288		leukocyte immunoglobulin like receptor B2
10289		eukaryotic translation initiation factor 1B
1029		cyclin dependent kinase inhibitor 2A
10290		striated muscle enriched protein kinase
10291		splicing factor 3a subunit 1
10293		TRAF interacting protein
10294		DnaJ heat shock protein family (Hsp40) member A2
10295		branched chain keto acid dehydrogenase kinase
10296		macrophage erythroblast attacher, E3 ubiquitin ligase
10297		APC regulator of WNT signaling pathway 2
10298		p21 (RAC1) activated kinase 4
10299	Failed_10299	
103		adenosine deaminase RNA specific
1030		cyclin dependent kinase inhibitor 2B
10300		katanin regulatory subunit B1
10302		small nuclear RNA activating complex polypeptide 5
10307		amyloid beta precursor protein binding family B member 3
10308		zinc finger protein 267
10309		cyclin O
1031		cyclin dependent kinase inhibitor 2C
10311		VPS26 endosomal protein sorting factor C
10312		T cell immune regulator 1, ATPase H+ transporting V0 subunit a3
10313	Failed_10313	
10314		LanC like glutathione S-transferase 1
10316		neuromedin U receptor 1
10317		beta-1,3-galactosyltransferase 5
10318		TNFAIP3 interacting protein 1
10319		laminin subunit gamma 3
1032		cyclin dependent kinase inhibitor 2D
10320		IKAROS family zinc finger 1
10321		cysteine rich secretory protein 3
10322		SMYD family member 5
10324		kelch like family member 41
10325		Ras related GTP binding B
10326		signal regulatory protein beta 1
10327		aldo-keto reductase family 1 member A1
10328		ER membrane protein complex subunit 8
10329		ribitol xylosyltransferase 1
1033		cyclin dependent kinase inhibitor 3
10330		canopy FGF signaling regulator 2
10331		UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3
10332		C-type lectin domain family 4 member M
10333		toll like receptor 6
10335	Failed_10335	
10336		polycomb group ring finger 3
10342		trafficking from ER to golgi regulator
10343		polycystin family receptor for egg jelly
10344		C-C motif chemokine ligand 26
10345		triadin
10346		tripartite motif containing 22
10347		ATP binding cassette subfamily A member 7
10349		ATP binding cassette subfamily A member 10
10350		ATP binding cassette subfamily A member 9
10351		ATP binding cassette subfamily A member 8
10352		tryptophanyl tRNA synthetase 2, mitochondrial
1036		cysteine dioxygenase type 1
10360		nucleophosmin/nucleoplasmin 3
10361		nucleophosmin/nucleoplasmin 2
10362		high mobility group 20B
10363		high mobility group 20A
10365		KLF transcription factor 2
10367		mitochondrial calcium uptake 1
10368		calcium voltage-gated channel auxiliary subunit gamma 3
10369		calcium voltage-gated channel auxiliary subunit gamma 2
10370		Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2
10371		semaphorin 3A
10376		tubulin alpha 1b
10379		interferon regulatory factor 9
1038		cerebellar degeneration related 1
10380		3'(2'), 5'-bisphosphate nucleotidase 1
10381		tubulin beta 3 class III
10382		tubulin beta 4A class IVa
10383		tubulin beta 4B class IVb
10384		butyrophilin subfamily 3 member A3
10385		butyrophilin subfamily 2 member A2
10388		synaptonemal complex protein 2
10389		Scm polycomb group protein like 2
1039		cerebellar degeneration related protein 2
10390		choline/ethanolamine phosphotransferase 1
10391		coronin 2B
103910		myosin light chain 12B
10392		nucleotide binding oligomerization domain containing 1
10393		anaphase promoting complex subunit 10
10394		proteoglycan 3, pro eosinophil major basic protein 2
10395		DLC1 Rho GTPase activating protein
10396		ATPase phospholipid transporting 8A1
10397		N-myc downstream regulated 1
10398		myosin light chain 9
10399		receptor for activated C kinase 1
104		adenosine deaminase RNA specific B1
1040	Failed_1040	
10400	Failed_10400	
10401		protein inhibitor of activated STAT 3
10402		ST3 beta-galactoside alpha-2,3-sialyltransferase 6
10403		NDC80 kinetochore complex component
10404		carboxypeptidase Q
10406		WAP four-disulfide core domain 2
10407		sperm associated antigen 11B
10409		brain abundant membrane attached signal protein 1
1041		corneodesmosin
10410		interferon induced transmembrane protein 3
10411		Rap guanine nucleotide exchange factor 3
10412		NSA2 ribosome biogenesis factor
10413		Yes1 associated transcriptional regulator
10417		spondin 2
10418		spondin 1
10419		protein arginine methyltransferase 5
10420		testis associated actin remodelling kinase 2
10421	Failed_10421	
10422		UBA domain containing 1
10423		CDP-diacylglycerol--inositol 3-phosphatidyltransferase
10424		progesterone receptor membrane component 2
10425		ariadne RBR E3 ubiquitin protein ligase 2
10426		tubulin gamma complex component 3
10427		SEC24 homolog B, COPII coat complex component
10428		craniofacial development protein 1
1043	Failed_1043	
10430		transmembrane protein 147
10432		RNA binding motif protein 14
10434		lysophospholipase 1
10435		CDC42 effector protein 2
10436		EMG1 N1-specific pseudouridine methyltransferase
10437		IFI30 lysosomal thiol reductase
10438		C1D nuclear receptor corepressor
10439		olfactomedin 1
1044		caudal type homeobox 1
10440		translocase of inner mitochondrial membrane 17A
10443		NEDD4 binding protein 2 like 2
10444		zyg-11 related cell cycle regulator
10445		microspherule protein 1
10446		leucine rich repeat neuronal 2
10447		FAM3 metabolism regulating signaling molecule C
10449		acetyl-CoA acyltransferase 2
1045		caudal type homeobox 2
10450		peptidylprolyl isomerase E
10451		vav guanine nucleotide exchange factor 3
10452	Failed_10452	
10454		TGF-beta activated kinase 1 (MAP3K7) binding protein 1
10455	Failed_10455	
10456		HCLS1 associated protein X-1
10457		glycoprotein nmb
10458		BAR/IMD domain containing adaptor protein 2
10459		mitotic arrest deficient 2 like 2
1046		caudal type homeobox 4
10460		transforming acidic coiled-coil containing protein 3
10461		MER proto-oncogene, tyrosine kinase
10462		C-type lectin domain containing 10A
10463		solute carrier family 30 member 9
10464		progesterone immunomodulatory binding factor 1
10465		peptidylprolyl isomerase H
10466		component of oligomeric golgi complex 5
10467		zinc finger HIT-type containing 1
10468		follistatin
10469		translocase of inner mitochondrial membrane 44
1047		calmegin
10471		prefoldin subunit 6
10472		zinc finger and BTB domain containing 18
10473		high mobility group nucleosomal binding domain 4
10474	Failed_10474	
10475		tripartite motif containing 38
10476		ATP synthase peripheral stalk subunit d
10477		ubiquitin conjugating enzyme E2 E3
10478		solute carrier family 25 member 17
10479		solute carrier family 9 member A6
1048		CEA cell adhesion molecule 5
10480		eukaryotic translation initiation factor 3 subunit M
10481	Failed_10481	
10482		nuclear RNA export factor 1
10483		SEC23 homolog B, COPII coat complex component
10484		SEC23 homolog A, COPII coat complex component
10485		MIR9-1 host gene
10486		cyclase associated actin cytoskeleton regulatory protein 2
10487	Failed_10487	
10488		cAMP responsive element binding protein 3
10489		leucine rich repeat containing 41
10490		vesicle transport through interaction with t-SNAREs 1B
10491	Failed_10491	
10492		synaptotagmin binding cytoplasmic RNA interacting protein
10493		vesicle amine transport 1
10494		serine/threonine kinase 25
10495		ecto-NOX disulfide-thiol exchanger 2
10497		unc-13 homolog B
10498		coactivator associated arginine methyltransferase 1
10499		nuclear receptor coactivator 2
105		adenosine deaminase RNA specific B2 (inactive)
1050		CCAAT enhancer binding protein alpha
10500		semaphorin 6C
10501		semaphorin 6B
10505	Failed_10505	
10507		semaphorin 4D
10509		semaphorin 4B
1051		CCAAT enhancer binding protein beta
10512		semaphorin 3C
10513		amyloid beta precursor protein binding protein 2
10514		MYB binding protein 1a
