Entrez_ID	Gene_Symbol	Description
199223	Failed_199223	
1993		ELAV like RNA binding protein 2
1994		ELAV like RNA binding protein 1
1995		ELAV like RNA binding protein 3
1996		ELAV like RNA binding protein 4
199675		mast cell expressed membrane protein 1
199692		zinc finger protein 627
199699		DAN domain BMP antagonist family member 5
1997		E74 like ETS transcription factor 1
199704		zinc finger protein 585A
199713		NLR family pyrin domain containing 7
199720		gametogenetin
199731		cell adhesion molecule 4
199745		THAP domain containing 8
199746		U2 small nuclear RNA auxiliary factor 1 like 4
199777		zinc finger protein 626
199786	Failed_199786	
1998		E74 like ETS transcription factor 2
199857		ALG14 UDP-N-acetylglucosaminyltransferase subunit
199870		family with sequence similarity 76 member A
1999		E74 like ETS transcription factor 3
199920		FYN binding protein 2
199953	Failed_199953	
199974		cytochrome P450 family 4 subfamily Z member 1
199990		FA core complex associated protein 20
2		alpha-2-macroglobulin
20		ATP binding cassette subfamily A member 2
2000		E74 like ETS transcription factor 4
200010	Failed_200010	
200014		coiled-coil and C2 domain containing 1B
200030	Failed_200030	
200035		nudix hydrolase 17
200081		taxilin alpha
2001		E74 like ETS transcription factor 5
200132		dynein light chain Tctex-type family member 5
200150		phospholipase D family member 5
200162		sperm associated antigen 17
200172		schlafen like 1
200185		keratinocyte associated protein 2
200186		CREB regulated transcription coactivator 2
2002		ETS transcription factor ELK1
200205		iron-sulfur cluster assembly factor IBA57
200232		family with sequence similarity 209 member A
200315		apolipoprotein B mRNA editing enzyme catalytic subunit 3A
200316		apolipoprotein B mRNA editing enzyme catalytic subunit 3F
200350	Failed_200350	
200373		cilia and flagella associated protein 221
2004		ETS transcription factor ELK3
200407		cellular repressor of E1A stimulated genes 2
200424	Failed_200424	
2005		ETS transcription factor ELK4
200504		gastrokine 2
200523		sperm microtubule inner protein 9
200539		ankyrin repeat domain 23
200558		aprataxin and PNKP like factor
200576	Failed_200576	
2006		elastin
200634		keratinocyte associated protein 3
200728		transmembrane protein 17
200734		sprouty related EVH1 domain containing 2
200765		tigger transposable element derived 1
200845		potassium channel tetramerization domain containing 6
200879		lipase H
200894	Failed_200894	
200895	Failed_200895	
2009		EMAP like 1
200909		5-hydroxytryptamine receptor 3D
200916		ribosomal protein L22 like 1
200931		solute carrier family 51 member A
200933		F-box protein 45
200942		kelch domain containing 8B
200958		mucin 20, cell surface associated
200959		gamma-aminobutyric acid type A receptor subunit rho3
2010		emerin
2011		microtubule affinity regulating kinase 2
201134		centrosomal protein 112
201140		dehydrogenase/reductase 7C
201158		trans-golgi network vesicle protein 23 homolog C
201161		centromere protein V
201163		folliculin
201176		Rho GTPase activating protein 27
201181		zinc finger protein 385C
201191		sterile alpha motif domain containing 14
2012	Failed_2012	
201243		SPEM family member 2
201254		centromere protein X
201255		leucine rich repeat containing 45
201266		solute carrier family 39 member 11
201292		tripartite motif containing 65
201294		unc-13 homolog D
201299		RAD52 motif containing 1
2013	Failed_2013	
201305		SPNS lysolipid transporter 3, sphingosine-1-phosphate (putative)
2014		epithelial membrane protein 3 (MAM blood group)
201456		F-box protein 15
201475		RAB12, member RAS oncogene family
2015		adhesion G protein-coupled receptor E1
201501		zinc finger and BTB domain containing 7C
201514		zinc finger protein 584
201516		zinc finger and SCAN domain containing 4
201562		3-hydroxyacyl-CoA dehydratase 2
201595		STT3 oligosaccharyltransferase complex catalytic subunit B
2016		empty spiracles homeobox 1
201625		dynein axonemal heavy chain 12
201626		phosphodiesterase 12
201627	Failed_201627	
201633		T cell immunoreceptor with Ig and ITIM domains
2017		cortactin
201725	Failed_201725	
201780		solute carrier family 10 member 4
201798		tigger transposable element derived 4
2018		empty spiracles homeobox 2
201895		small integral membrane protein 14
2019		engrailed homeobox 1
201931		transmembrane protein 192
201965	Failed_201965	
201973		primase and DNA directed polymerase
202	Failed_202	
2020		engrailed homeobox 2
202018		transmembrane anterior posterior transformation 1
202051		spermatogenesis associated 24
202052		DnaJ heat shock protein family (Hsp40) member C18
2021		endonuclease G
202134		protein FAM153B
202151		RAN binding protein 3 like
2022		endoglin
2023		enolase 1
202333	Failed_202333	
202374		serine/threonine kinase 32A
202500	Failed_202500	
202559		KH RNA binding domain containing, signal transduction associated 2
2026		enolase 2
202658		TRIM39-RPP21 readthrough
2027		enolase 3
2028		glutamyl aminopeptidase
2029		endosulfine alpha
202915		transmembrane protein 184A
203		adenylate kinase 1
2030		solute carrier family 29 member 1 (Augustine blood group)
203054		aarF domain containing kinase 5
203062		t-SNARE domain containing 1
203068		tubulin beta class I
203069		R3H domain and coiled-coil containing 1
203074		serine protease 55
203076		chromosome 8 open reading frame 74
203100		HtrA serine peptidase 4
203102		ADAM metallopeptidase domain 32
203111		glutamate rich 5
203190	Failed_203190	
203197		transmembrane protein 268
203228		C9orf72-SMCR8 complex subunit
203238		coiled-coil domain containing 171
203245		nuclear apoptosis inducing factor 1
203259		family with sequence similarity 219 member A
203260		coiled-coil domain containing 107
203286		ankyrin repeat and sterile alpha motif domain containing 6
2033	Failed_2033	
203328		sushi domain containing 3
2034		endothelial PAS domain protein 1
203427	Failed_203427	
203430		retrotransposon Gag like 3
203447		Nik related kinase
2035		erythrocyte membrane protein band 4.1
203522		integrator complex subunit 6 like
203523		zinc finger protein 449
203547		vacuolar ATPase assembly factor VMA21
203569		PAGE family member 2
2036		erythrocyte membrane protein band 4.1 like 1
203611		chromodomain Y-linked 2B
2037		erythrocyte membrane protein band 4.1 like 2
2038		erythrocyte membrane protein band 4.2
203859		anoctamin 5
2039		dematin actin binding protein
204		adenylate kinase 2
2040		stomatin
2041		EPH receptor A1
2042		EPH receptor A3
204219		ceramide synthase 3
2043	Failed_2043	
2044		EPH receptor A5
204474		protein disulfide isomerase like, testis expressed
2045		EPH receptor A7
2046		EPH receptor A8
2047		EPH receptor B1
2048		EPH receptor B2
204801		NLR family pyrin domain containing 11
204851		homeodomain interacting protein kinase 1
2049		EPH receptor B3
204962		solute carrier family 44 member 5
205		adenylate kinase 4
2050		EPH receptor B4
2051		EPH receptor B6
205147		APC membrane recruitment protein 3
2052		epoxide hydrolase 1
2053		epoxide hydrolase 2
205327	Failed_205327	
2054		syntaxin 2
2055		CLN8 transmembrane ER and ERGIC protein
205564		SUMO specific peptidase 5
2056	Failed_2056	
2057		erythropoietin receptor
205717		upstream transcription factor family member 3
2058		glutamyl-prolyl-tRNA synthetase 1
2059		EGFR pathway substrate 8, signaling adaptor
2060		epidermal growth factor receptor pathway substrate 15
2063		nuclear receptor subfamily 2 group F member 6
206338		laeverin
206358		solute carrier family 36 member 1
2064		erb-b2 receptor tyrosine kinase 2
2065		erb-b2 receptor tyrosine kinase 3
2066		erb-b2 receptor tyrosine kinase 4
2067		ERCC excision repair 1, endonuclease non-catalytic subunit
2068		ERCC excision repair 2, TFIIH core complex helicase subunit
2069		epiregulin
207		AKT serine/threonine kinase 1
2070		EYA transcriptional coactivator and phosphatase 4
207063		dehydrogenase/reductase X-linked
2071		ERCC excision repair 3, TFIIH core complex helicase subunit
2072		ERCC excision repair 4, endonuclease catalytic subunit
2073	Failed_2073	
2074		ERCC excision repair 6, chromatin remodeling factor
2077		ETS2 repressor factor
2078		ETS transcription factor ERG
2079		ERH mRNA splicing and mitosis factor
208		AKT serine/threonine kinase 2
2081		endoplasmic reticulum to nucleus signaling 1
2086		endogenous retrovirus group 3 member 1, envelope
2091		fibrillarin
2098		esterase D
2099		estrogen receptor 1
21	Failed_21	
210		aminolevulinate dehydratase
2100		estrogen receptor 2
2101		estrogen related receptor alpha
2103		estrogen related receptor beta
2104		estrogen related receptor gamma
2107		eukaryotic translation termination factor 1
2108		electron transfer flavoprotein subunit alpha
2109		electron transfer flavoprotein subunit beta
211		5'-aminolevulinate synthase 1
2110		electron transfer flavoprotein dehydrogenase
2113		ETS proto-oncogene 1, transcription factor
2114		ETS proto-oncogene 2, transcription factor
2115		ETS variant transcription factor 1
2116		ETS variant transcription factor 2
2117		ETS variant transcription factor 3
2118		ETS variant transcription factor 4
2119		ETS variant transcription factor 5
212		5'-aminolevulinate synthase 2
2120		ETS variant transcription factor 6
2121		EvC ciliary complex subunit 1
2122	Failed_2122	
2123		ecotropic viral integration site 2A
2124		ecotropic viral integration site 2B
2125		envoplakin
2128		even-skipped homeobox 1
213	Failed_213	
2130		EWS RNA binding protein 1
2131		exostosin glycosyltransferase 1
2132		exostosin glycosyltransferase 2
2134		exostosin like glycosyltransferase 1
2135		exostosin like glycosyltransferase 2
2137		exostosin like glycosyltransferase 3
2138		EYA transcriptional coactivator and phosphatase 1
2139		EYA transcriptional coactivator and phosphatase 2
214		activated leukocyte cell adhesion molecule
2140		EYA transcriptional coactivator and phosphatase 3
2145		enhancer of zeste 1 polycomb repressive complex 2 subunit
2146		enhancer of zeste 2 polycomb repressive complex 2 subunit
2147		coagulation factor II, thrombin
2149		coagulation factor II thrombin receptor
215	Failed_215	
2150		F2R like trypsin receptor 1
2151		coagulation factor II thrombin receptor like 2
2152		coagulation factor III, tissue factor
2153		coagulation factor V
2155		coagulation factor VII
2157		coagulation factor VIII
2158		coagulation factor IX
2159		coagulation factor X
216		aldehyde dehydrogenase 1 family member A1
2160		coagulation factor XI
2161		coagulation factor XII
2162	Failed_2162	
2165		coagulation factor XIII B chain
2166		fatty acid amide hydrolase
2167		fatty acid binding protein 4
2168		fatty acid binding protein 1
2169		fatty acid binding protein 2
217		aldehyde dehydrogenase 2 family member
2170	Failed_2170	
2171		fatty acid binding protein 5
2172		fatty acid binding protein 6
2173		fatty acid binding protein 7
2175		FA complementation group A
2176		FA complementation group C
2177		FA complementation group D2
2178		FA complementation group E
218		aldehyde dehydrogenase 3 family member A1
2180		acyl-CoA synthetase long chain family member 1
2181		acyl-CoA synthetase long chain family member 3
2182		acyl-CoA synthetase long chain family member 4
2184		fumarylacetoacetate hydrolase
2185		protein tyrosine kinase 2 beta
2186		bromodomain PHD finger transcription factor
2187		FA complementation group B
2188		FA complementation group F
2189		FA complementation group G
219		aldehyde dehydrogenase 1 family member B1
2191		fibroblast activation protein alpha
2192		fibulin 1
219285	Failed_219285	
219287		APC membrane recruitment protein 2
219293		ATPase family AAA domain containing 3C
2193		phenylalanyl-tRNA synthetase subunit alpha
219333		ubiquitin specific peptidase 12
219348		placenta associated 9
2194		fatty acid synthase
219402		mitochondrial translational initiation factor 3
219432		olfactory receptor family 4 subfamily C member 6
219437		olfactory receptor family 5 subfamily L member 1
219447		olfactory receptor family 5 subfamily AS member 1
2195		FAT atypical cadherin 1
219539		yippee like 4
219541		mediator complex subunit 19
219578		zinc finger protein 804B
2196		FAT atypical cadherin 2
219621		ciliary associated calcium binding coiled-coil 1
219654		zinc finger CCHC-type containing 24
219670		enkurin, TRPC channel interacting protein
219681	Failed_219681	
219699		unc-5 netrin receptor B
2197		FAU ubiquitin like and ribosomal protein S30 fusion
219736		storkhead box 1
219738		family with sequence similarity 241 member B
219743		trypsin like peroxisomal matrix peptidase 1
219749	Failed_219749	
219770		gap junction protein delta 4
219771		cyclin Y
219790		rhotekin 2
219793		thymus, brain and testes associated
219833		KCNJ5 antisense RNA 1
219844		HYLS1 centriolar and ciliogenesis associated
219854	Failed_219854	
219855		solute carrier family 37 member 2
219858		olfactory receptor family 8 subfamily B member 12
2199		fibulin 2
219902		TLC domain containing 5
219927		mitochondrial ribosomal protein L21
219931	Failed_219931	
219938		spermatogenesis associated 19
219970		glycine-N-acyltransferase like 2
219972		macrophage expressed 1
219982		olfactory receptor family 5 subfamily A member 1
219983		olfactory receptor family 4 subfamily D member 6
219988		PAT1 homolog 1, processing body mRNA decay factor
219990	Failed_219990	
219995		membrane spanning 4-domains A15
22		ATP binding cassette subfamily B member 7
220		aldehyde dehydrogenase 1 family member A3
2200		fibrillin 1
220001		von Willebrand factor C and EGF domains
220002		cytochrome b561 family member A3
220004		stabilizer of axonemal microtubules 4
220032		glycerophosphodiester phosphodiesterase domain containing 4
220042		DNA damage induced apoptosis suppressor
220047		coiled-coil domain containing 83
220064	Failed_220064	
220074		leucine rich transmembrane and O-methyltransferase domain containing
220081		glutamate rich 6B
220082		chibby family member 2
2201		fibrillin 2
220108		family with sequence similarity 124 member A
220134		spindle and kinetochore associated complex subunit 1
220136		cilia and flagella associated protein 53
220164		docking protein 6
2202		EGF containing fibulin extracellular matrix protein 1
220213		OTU deubiquitinase 1
220296		hepatic and glial cell adhesion molecule
2203	Failed_2203	
220359		tigger transposable element derived 3
220388		coiled-coil domain containing 89
2204		Fc alpha receptor
220441		ring finger protein 152
2205		Fc epsilon receptor Ia
2206		membrane spanning 4-domains A2
2207		Fc epsilon receptor Ig
2208		Fc epsilon receptor II
220869		Zn regulated GTPase metalloprotein activator 1E
2209		Fc gamma receptor Ia
220963		solute carrier family 16 member 9
220965		family with sequence similarity 13 member C
220972		membrane associated ring-CH-type finger 8
220988		heterogeneous nuclear ribonucleoprotein A3
221	Failed_221	
2210	Failed_2210	
221002		RasGEF domain family member 1A
221035		receptor accessory protein 3
221037		jumonji domain containing 1C
221044		upper zone of growth plate and cartilage matrix associated
221061	Failed_221061	
221074		solute carrier family 39 member 12
221078		NOP2/Sun RNA methyltransferase 6
221079		ARF like GTPase 5B
221091		LRRN4 C-terminal like
221092		heterogeneous nuclear ribonucleoprotein U like 2
221120		alkB homolog 3, alpha-ketoglutarate dependent dioxygenase
221143		EEF1A lysine methyltransferase 1
221150		spindle and kinetochore associated complex subunit 3
221154		mitochondrial calcium uptake 2
221178		spermatogenesis associated 13
221184		copine 2
221188		adhesion G protein-coupled receptor G5
2212		Fc gamma receptor IIa
221223	Failed_221223	
221264		adenylate kinase 9
221294		5'-nucleotidase domain containing 1
2213		Fc gamma receptor IIb
221301		calcium homeostasis modulator family member 4
221302		zinc finger containing ubiquitin peptidase 1
221303		family with sequence similarity 162 member B
221322		TBC1 domain family member 32
221336		BEN domain containing 6
221357		glutathione S-transferase alpha 5
221391		opsin 5
221393		adhesion G protein-coupled receptor F4
221395		adhesion G protein-coupled receptor F5
2214		Fc gamma receptor IIIa
221400		tudor domain containing 6
221421		radial spoke head component 9
221424		leucine rich repeat containing 73
221443		O-acyl-ADP-ribose deacylase 1
221458		kinesin family member 6
221472		FYVE, RhoGEF and PH domain containing 2
221476		peptidase inhibitor 16
221477		chromosome 6 open reading frame 89
221481		armadillo repeat containing 12
221496		LEM domain nuclear envelope protein 2
2215		Fc gamma receptor IIIb
221504	Failed_221504	
221527		zinc finger and BTB domain containing 12
221545		chromosome 6 open reading frame 136
221613		H2A clustered histone 1
221656		lysine demethylase 1B
221662		RNA binding motif protein 24
221687		ring finger protein 182
221692		phosphatase and actin regulator 1
2217		Fc gamma receptor and transporter
221711		synaptonemal complex protein 2 like
221749	Failed_221749	
221785		zinc finger and SCAN domain containing 25
221786	Failed_221786	
2218		fukutin
221806		von Willebrand factor D and EGF domains
221823		phosphoribosyl pyrophosphate synthetase 1 like 1
221830	Failed_221830	
221833		Sp8 transcription factor
221895		JAZF zinc finger 1
2219		ficolin 1
221908		protein phosphatase 1 regulatory subunit 35
221914		glypican 2
221927		BRCA1 associated ATM activator 1
221935	Failed_221935	
221937		forkhead box K1
221938		monocyte to macrophage differentiation associated 2
221955		diacylglycerol lipase beta
221960		CCZ1 homolog B, vacuolar protein trafficking and biogenesis associated
221981		thrombospondin type 1 domain containing 7A
222		aldehyde dehydrogenase 3 family member B2
2220		ficolin 2
222008		V-set and transmembrane domain containing 2A
222068		transmembrane p24 trafficking protein 4
222166		maturin, neural progenitor differentiation regulator homolog
222171		proline rich 15
222194		round spermatid basic protein 1 like
2222	Failed_2222	
222223		endosome-lysosome associated apoptosis and autophagy regulator family member 2
222229	Failed_222229	
222235		F-box and leucine rich repeat protein 13
222236		N-acyl phosphatidylethanolamine phospholipase D
222255		ataxin 7 like 1
222389		BEN domain containing 7
2224		farnesyl diphosphate synthase
222484		ligand of numb-protein X 2
222537		heparan sulfate-glucosamine 3-sulfotransferase 5
222545		G protein-coupled receptor class C group 6 member A
222546		regulatory factor X6
222553		solute carrier family 35 member F1
222584		family with sequence similarity 83 member B
222642		translocator protein 2
222643		unc-5 family C-terminal like
222658		potassium channel tetramerization domain containing 20
222662		LHFPL tetraspan subfamily member 5
222663		signal peptide, CUB domain and EGF like domain containing 3
222696		zinc finger and SCAN domain containing 23
222698		NFKB activating protein like
222865	Failed_222865	
222894		Fer3 like bHLH transcription factor
222950		neuronal tyrosine phosphorylated phosphoinositide-3-kinase adaptor 1
222962		solute carrier family 29 member 4
222967		radial spoke head 10 homolog B
223		aldehyde dehydrogenase 9 family member A1
2230		ferredoxin 1
223082		zinc and ring finger 2
223117		semaphorin 3D
2232		ferredoxin reductase
2235		ferrochelatase
2237		flap structure-specific endonuclease 1
2239		glypican 4
224		aldehyde dehydrogenase 3 family member A2
2241		FER tyrosine kinase
2242		FES proto-oncogene, tyrosine kinase
2243		fibrinogen alpha chain
2244		fibrinogen beta chain
2245	Failed_2245	
2246		fibroblast growth factor 1
2247		fibroblast growth factor 2
2248		fibroblast growth factor 3
2249		fibroblast growth factor 4
225		ATP binding cassette subfamily D member 2
2250		fibroblast growth factor 5
2251		fibroblast growth factor 6
2252	Failed_2252	
2253		fibroblast growth factor 8
2254		fibroblast growth factor 9
2255		fibroblast growth factor 10
2256	Failed_2256	
225689		mitogen-activated protein kinase 15
2257		fibroblast growth factor 12
2258		fibroblast growth factor 13
2259		fibroblast growth factor 14
226		aldolase, fructose-bisphosphate A
2260		fibroblast growth factor receptor 1
2261		fibroblast growth factor receptor 3
2262		glypican 5
2263		fibroblast growth factor receptor 2
2264		fibroblast growth factor receptor 4
2266		fibrinogen gamma chain
2267		fibrinogen like 1
2268		FGR proto-oncogene, Src family tyrosine kinase
2271		fumarate hydratase
2272		fragile histidine triad diadenosine triphosphatase
2273		four and a half LIM domains 1
2274		four and a half LIM domains 2
2275		four and a half LIM domains 3
2277		vascular endothelial growth factor D
22794		CASC3 exon junction complex subunit
22795		nidogen 2
22796		component of oligomeric golgi complex 2
22797		transcription factor EC
22798	Failed_22798	
2280		FKBP prolyl isomerase 1A
22800		RAS related 2
22801		integrin subunit alpha 11
22802		chloride channel accessory 4
22803		5'-3' exoribonuclease 2
22806		IKAROS family zinc finger 3
22807		IKAROS family zinc finger 2
22808		muscle RAS oncogene homolog
22809		activating transcription factor 5
2281		FKBP prolyl isomerase 1B
22818		COPI coat complex subunit zeta 1
22820		COPI coat complex subunit gamma 1
22821		RAS p21 protein activator 3
22822		pleckstrin homology like domain family A member 1
22823		metal response element binding transcription factor 2
22824		heat shock protein family A (Hsp70) member 4 like
22826		DnaJ heat shock protein family (Hsp40) member C8
22827	Failed_22827	
22828	Failed_22828	
22829		neuroligin 4 Y-linked
22832		centrosomal protein 162
22834		zinc finger protein 652
22836	Failed_22836	
22837		cordon-bleu WH2 repeat protein like 1
22838		ring finger protein 44
22839		DLG associated protein 4
22841		RAB11 family interacting protein 2
22843		protein phosphatase, Mg2+/Mn2+ dependent 1E
22844		FERM and PDZ domain containing 1
22845		dolichol kinase
22846	Failed_22846	
22847		zinc finger protein 507
22848		AP2 associated kinase 1
22849		cytoplasmic polyadenylation element binding protein 3
22850		ADNP homeobox 2
22852		ankyrin repeat domain containing 26
22853	Failed_22853	
22854		netrin G1
22856		chondroitin sulfate synthase 1
22858		ciliogenesis associated kinase 1
22859		adhesion G protein-coupled receptor L1
2286		FKBP prolyl isomerase 2
22861		NLR family pyrin domain containing 1
22862		fibronectin type III domain containing 3A
22863		autophagy related 14
22864	Failed_22864	
22865		SLIT and NTRK like family member 3
22866		connector enhancer of kinase suppressor of Ras 2
22868		FAST kinase domains 2
22869		zinc finger protein 510
2287		FKBP prolyl isomerase 3
22870		protein phosphatase 6 regulatory subunit 1
22871	Failed_22871	
22872		SEC31 homolog A, COPII coat complex component
22873		DAZ interacting zinc finger protein 1
22874		pleckstrin homology domain containing A6
22875		ectonucleotide pyrophosphatase/phosphodiesterase 4
22876		inositol polyphosphate-5-phosphatase F
22877		MLX interacting protein
22878		trafficking protein particle complex subunit 8
22879		MON1 homolog B, secretory trafficking associated
2288		FKBP prolyl isomerase 4
22880		MORC family CW-type zinc finger 2
22881		ankyrin repeat domain 6
22882		zinc fingers and homeoboxes 2
22883		calsyntenin 1
22884		WD repeat domain 37
22885		actin binding LIM protein family member 3
22887	Failed_22887	
22888		U-box domain containing 5
22889		KH domain containing 4, pre-mRNA splicing factor
2289		FKBP prolyl isomerase 5
22890		zinc finger and BTB domain containing 1
22891	Failed_22891	
22893		bromo adjacent homology domain containing 1
22894		DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease
22895		rabphilin 3A
22897		centrosomal protein 164
22898		DENN domain containing 3
22899		Rho guanine nucleotide exchange factor 15
229	Failed_229	
2290		forkhead box G1
22900		caspase recruitment domain family member 8
22901		arylsulfatase G
22902		RUN and FYVE domain containing 3
22903		BTB domain containing 3
22905		epsin 2
22906		trafficking kinesin protein 1
22907		DExH-box helicase 30
22908		SAC1 like phosphatidylinositide phosphatase
22909		FANCD2 and FANCI associated nuclease 1
22911		WD repeat domain 47
22913		RALY heterogeneous nuclear ribonucleoprotein
22914		killer cell lectin like receptor K1
22915		multimerin 1
22916		nuclear cap binding protein subunit 2
22917	Failed_22917	
22918		CD93 molecule
22919		microtubule associated protein RP/EB family member 1
22920		kinesin associated protein 3
22921		methionine sulfoxide reductase B2
22924		microtubule associated protein RP/EB family member 3
22925		phospholipase A2 receptor 1
22926		activating transcription factor 6
22927		hyaluronan binding protein 4
22929		selenophosphate synthetase 1
22930		RAB3 GTPase activating protein catalytic subunit 1
22931		RAB18, member RAS oncogene family
22932		POM121 and ZP3 fusion
22933		sirtuin 2
22934		ribose 5-phosphate isomerase A
22936		elongation factor for RNA polymerase II 2
22937		SREBF chaperone
22938		SNW domain containing 1
2294		forkhead box F1
22941		SH3 and multiple ankyrin repeat domains 2
22943	Failed_22943	
22944		Kin17 DNA and RNA binding protein
22948		chaperonin containing TCP1 subunit 5
22949	Failed_22949	
2295		forkhead box F2
22950		solute carrier family 4 member 1 adaptor protein
22953		purinergic receptor P2X 2
22954		tripartite motif containing 32
22955		Scm polycomb group protein homolog 1
2296		forkhead box C1
22974		TPX2 microtubule nucleation factor
22976		PAX interacting protein 1
22977		aldo-keto reductase family 7 member A3
22978	Failed_22978	
22979		EFR3 homolog B
2298		forkhead box D4
22980		TCF25 ribosome quality control complex subunit
22981		ninein like
22982		disco interacting protein 2 homolog C
22983		microtubule associated serine/threonine kinase 1
22984	Failed_22984	
22985		apoptotic chromatin condensation inducer 1
22986		sortilin related VPS10 domain containing receptor 3
22987		synaptic vesicle glycoprotein 2C
22989		myosin heavy chain 15
2299		forkhead box I1
22990		pecanex 1
22992		lysine demethylase 2A
22993		HMG-box containing 3
22994		centrosomal protein 131
22995		centrosomal protein 152
22996		tetratricopeptide repeat domain 39A
22998		LIM and calponin homology domains 1
22999		regulating synaptic membrane exocytosis 1
23	Failed_23	
230		aldolase, fructose-bisphosphate C
2300		forkhead box L1
23001		WD repeat and FYVE domain containing 3
23002	Failed_23002	
23005	Failed_23005	
23007		phospholipase C eta 1
23008	Failed_23008	
23011		RAB21, member RAS oncogene family
23012		serine/threonine kinase 38 like
23013		spen family transcriptional repressor
23014		F-box protein 21
23015		golgin A8 family member A
23016		exosome component 7
23017		Fas apoptotic inhibitory molecule 2
23019		CCR4-NOT transcription complex subunit 1
2302		forkhead box J1
23020		small nuclear ribonucleoprotein U5 subunit 200
23022		palladin, cytoskeletal associated protein
23023		transmembrane and coiled-coil domain family 1
23024		PDZ domain containing ring finger 3
23025		unc-13 homolog A
23026		myosin XVI
23028		lysine demethylase 1A
23029		RNA binding motif protein 34
2303		forkhead box C2
23030		lysine demethylase 4B
23031	Failed_23031	
23032		ubiquitin specific peptidase 33
23033		DOP1 leucine zipper like protein A
23034		sterile alpha motif domain containing 4A
23035		PH domain and leucine rich repeat protein phosphatase 2
23036		zinc finger protein 292
23037		PDZ domain containing 2
23038		WD and tetratricopeptide repeats 1
23039		exportin 7
2304	Failed_2304	
23040		myelin transcription factor 1 like
23041		MON2 homolog, regulator of endosome-to-Golgi trafficking
23042		pyridoxal dependent decarboxylase domain containing 1
23043		TRAF2 and NCK interacting kinase
23046	Failed_23046	
23047		PDS5 cohesin associated factor B
23048		formin binding protein 1
23049		SMG1 nonsense mediated mRNA decay associated PI3K related kinase
2305		forkhead box M1
23051	Failed_23051	
23052		endonuclease domain containing 1
23053		zinc finger SWIM-type containing 8
23054		nuclear receptor coactivator 6
23057		nicotinamide nucleotide adenylyltransferase 2
23059		clusterin associated protein 1
2306		forkhead box D2
23060		zinc finger protein 609
23061		TBC1 domain family member 9B
23062		golgi associated, gamma adaptin ear containing, ARF binding protein 2
23063		WAPL cohesin release factor
23064	Failed_23064	
23065		ER membrane protein complex subunit 1
23066		cullin associated and neddylation dissociated 2 (putative)
23067	Failed_23067	
2307		forkhead box S1
23070	Failed_23070	
23071		endoplasmic reticulum protein 44
23072		HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1
23074		bridge-like lipid transfer protein family member 3B
23075		switching B cell complex subunit SWAP70
23076		ribosomal RNA processing 1B
23078		von Willebrand factor A domain containing 8
2308		forkhead box O1
23080		AVL9 cell migration associated
23081		lysine demethylase 4C
23082		PPARG related coactivator 1
23085		ELKS/RAB6-interacting/CAST family member 1
23086		exophilin 5
23087		tripartite motif containing 35
23089		paternally expressed 10
2309		forkhead box O3
23090		zinc finger protein 423
23091		zinc finger CCCH-type containing 13
23092		Rho GTPase activating protein 26
23093		tubulin tyrosine ligase like 5
23094		signal induced proliferation associated 1 like 3
23095		kinesin family member 1B
23096		IQ motif and Sec7 domain ArfGEF 2
23097		cyclin dependent kinase 19
23099		zinc finger and BTB domain containing 43
231		aldo-keto reductase family 1 member B
23101		MCF.2 cell line derived transforming sequence-like 2
23102		TBC1 domain family member 2B
23105		follistatin like 4
23107		mitochondrial ribosomal protein S27
23108		RAP1 GTPase activating protein 2
23109		dendrin
23111	Failed_23111	
23112		trinucleotide repeat containing adaptor 6B
23113		cullin 9
23114		neurofascin
23116		TOG array regulator of axonemal microtubules 1
23118		TGF-beta activated kinase 1 (MAP3K7) binding protein 2
23119		HIC ZBTB transcriptional repressor 2
2312	Failed_2312	
23120	Failed_23120	
23125		calmodulin binding transcription activator 2
23126		pogo transposable element derived with ZNF domain
23127		collagen beta(1-O)galactosyltransferase 2
23129		plexin D1
2313		Fli-1 proto-oncogene, ETS transcription factor
23130		autophagy related 2A
23131		G-patch domain containing 8
23132		RAD54 like 2
23133		PHD finger protein 8
23135		lysine demethylase 6B
23136		erythrocyte membrane protein band 4.1 like 3
23137		structural maintenance of chromosomes 5
23138		NEDD4 binding protein 3
23139		microtubule associated serine/threonine kinase 2
2314		FLII actin remodeling protein
23140		zinc finger ZZ-type and EF-hand domain containing 1
23141		ankyrin repeat and LEM domain containing 2
23142		defective in cullin neddylation 1 domain containing 4
23143	Failed_23143	
23144		zinc finger CCCH-type containing 3
23148		NAC alpha domain containing
23149		FCH and mu domain containing endocytic adaptor 1
2315		melan-A
23150		FERM domain containing 4B
23151		GRAM domain containing 4
23152		capicua transcriptional repressor
23154		neurochondrin
23155		chloride channel CLIC like 1
23157		septin 6
23158	Failed_23158	
2316		filamin A
23160		WD repeat domain 43
23161		sorting nexin 13
23162		mitogen-activated protein kinase 8 interacting protein 3
23163		golgi associated, gamma adaptin ear containing, ARF binding protein 3
23164		myosin phosphatase Rho interacting protein
23165		nucleoporin 205
23166		stabilin 1
23167		EFR3 homolog A
23168		RTF1 homolog, Paf1/RNA polymerase II complex component
23169		solute carrier family 35 member D1
2317	Failed_2317	
23170		tubulin tyrosine ligase like 12
23171	Failed_23171	
23172		abraxas 2, BRISC complex subunit
