Name	Accession
hsa-miR-23a-3p	MIMAT0000078
hsa-miR-140-3p	MIMAT0004597
hsa-miR-26b-5p	MIMAT0044207
hsa-miR-941	MIMAT0004984
hsa-miR-181b-5p	MIMAT0044134
mmu-miR-31-3p	MIMAT0004634
hsa-miR-133a-3p	MIMAT0000427
hsa-miR-485-3p	MIMAT0002176
hsa-miR-191-5p	MIMAT0036571
hsa-miR-26a-5p	MIMAT0044164
hsa-miR-20a-5p	MIMAT0036569
hsa-miR-182-3p	MIMAT0000260
hsa-miR-584-3p	MIMAT0022708
hsa-miR-125b-1-3p	MIMAT0004592
hsa-miR-6088	MIMAT0023713
hsa-miR-208b-3p	MIMAT0004960
hsa-let-7e	MI0000066
hsa-miR-122-3p	MIMAT0004590
hsa-miR-191-3p	MIMAT0001618
hsa-miR-4286	MIMAT0016916
hsa-miR-5195-3p	MIMAT0021127
hsa-miR-92b-3p	MIMAT0003218
hsa-miR-605-3p	MIMAT0026621
hsa-miR-186-3p	MIMAT0004612
hsa-miR-92a-3p	MIMAT0000092
hsa-miR-638	MIMAT0003308
hsa-miR-378c	MIMAT0016847
hsa-miR-3646	MIMAT0018065
hsa-miR-146a-3p	MIMAT0004608
rno-miR-208a-3p	MIMAT0000880
hsa-miR-9-3p	MIMAT0000442
hsa-miR-200a-3p	MIMAT0000682
hsa-miR-21-5p	MIMAT0044033
hsa-miR-361-5p	MIMAT0036517
mmu-miR-326-3p	MIMAT0000559
hsa-miR-19b-1-5p	MIMAT0000074
hsa-miR-223-5p	MIMAT0048359
hsa-miR-224-3p	MIMAT0009198
mmu-miR-124-3p	MIMAT0000134
hsa-let-7i	MI0000434
hsa-miR-889-3p	MIMAT0004921
hsa-miR-26a-1-3p	MIMAT0004499
mmu-miR-155-3p	MIMAT0016993
hsa-miR-1-3p	MIMAT0000416
hsa-miR-19b-3p	MIMAT0000074
hsa-miR-3149	MIMAT0015022
rno-miR-145-3p	MIMAT0017131
hsa-miR-4299	MIMAT0016851
hsa-miR-100-3p	MIMAT0004512
hsa-miR-20b-5p	MIMAT0044341
hsa-miR-206	MIMAT0000462
hsa-miR-4770	MIMAT0019924
mmu-miR-335-5p	MIMAT0036618
hsa-miR-195-3p	MIMAT0004615
hsa-miR-423-5p	MIMAT0049715
hsa-miR-125a-3p	MIMAT0004602
hsa-miR-106a-3p	MIMAT0004517
hsa-miR-4429	MIMAT0018944
hsa-miR-320d	MIMAT0006764
mmu-miR-128-3p	MIMAT0000140
mmu-miR-494-3p	MIMAT0003182
rno-miR-29a-3p	MIMAT0000802
hsa-miR-181a-5p	MIMAT0044090
mmu-miR-30a-5p	MIMAT0036562
mmu-miR-204-3p	MIMAT0017002
hsa-miR-6741-3p	MIMAT0027384
mmu-miR-125b-5p	MIMAT0044093
mmu-miR-382-3p	MIMAT0004691
hsa-miR-874-3p	MIMAT0004911
mmu-miR-17-3p	MIMAT0000650
mmu-miR-26a-5p	MIMAT0044164
mmu-miR-146b-3p	MIMAT0004826
hsa-miR-1184	MIMAT0005829
rno-miR-142-5p	MIMAT0044045
hsa-miR-218-2-3p	MIMAT0004566
rno-miR-192-5p	MIMAT0044277
rno-miR-186-3p	MIMAT0017143
