Name	Accession
hsa-miR-491-5p	MIMAT0036566
hsa-miR-744-5p	MIMAT0048564
hsa-miR-624-3p	MIMAT0004807
hsa-miR-28-5p	MIMAT0036565
hsa-miR-296-5p	MIMAT0049288
hsa-miR-579-3p	MIMAT0003244
hsa-miR-1224-5p	MIMAT0041146
hsa-miR-155-5p	MIMAT0044060
hsa-miR-1234-3p	MIMAT0005589
hsa-miR-26a-2-3p	MIMAT0004681
hsa-miR-1249-3p	MIMAT0005901
hsa-miR-1279	MIMAT0005937
hsa-miR-302e	MIMAT0005931
hsa-miR-1247-5p	MIMAT0036594
hsa-let-7e-5p	MIMAT0036620
hsa-miR-513c-5p	MIMAT0039335
hsa-miR-1228-3p	MIMAT0005583
hsa-let-7c-5p	MIMAT0038798
hsa-miR-1225-3p	MIMAT0005573
hsa-let-7b-5p	MIMAT0037598
hsa-miR-376b-3p	MIMAT0002172
hsa-miR-934	MIMAT0004977
hsa-miR-589-5p	MIMAT0039627
hsa-miR-1224-3p	MIMAT0005459
hsa-miR-641	MIMAT0003311
hsa-miR-1323	MIMAT0005795
hsa-miR-633	MIMAT0003303
hsa-miR-1237-3p	MIMAT0005592
hsa-miR-1321	MIMAT0005952
hsa-miR-24-2-5p	MIMAT0000080
hsa-miR-510-5p	MIMAT0015935
hsa-miR-1288-3p	MIMAT0005942
hsa-miR-1181	MIMAT0005826
hsa-miR-146b-5p	MIMAT0038962
hsa-let-7d-5p	MIMAT0044195
hsa-miR-559	MIMAT0003223
hsa-miR-204-5p	MIMAT0044029
hsa-miR-635	MIMAT0003305
hsa-miR-1268a	MIMAT0005922
hsa-miR-1225-5p	MIMAT0016161
hsa-miR-625-5p	MIMAT0006471
hsa-miR-1207-3p	MIMAT0005872
hsa-miR-548m	MIMAT0005917
hsa-miR-1324	MIMAT0005956
hsa-miR-518e-3p	MIMAT0002861
hsa-miR-644a	MIMAT0003314
hsa-miR-520e-3p	MIMAT0002825
hsa-miR-338-3p	MIMAT0000763
hsa-miR-199b-5p	MIMAT0021835
hsa-mir-10b	MI0000267
hsa-miR-3918	MIMAT0018192
hsa-miR-197-3p	MIMAT0000227
hsa-miR-15a-5p	MIMAT0044267
hsa-miR-548x-3p	MIMAT0015081
hsa-miR-324-5p	MIMAT0036596
hsa-miR-335-3p	MIMAT0004703
hsa-miR-543	MIMAT0004954
mmu-miR-129-2-3p	MIMAT0000544
hsa-miR-370-5p	MIMAT0049048
mmu-miR-330-5p	MIMAT0049693
hsa-miR-7-2-3p	MIMAT0004554
hsa-miR-141-5p	MIMAT0048244
mmu-miR-5112	MIMAT0020620
hsa-miR-369-3p	MIMAT0000721
hsa-miR-7-1-3p	MIMAT0004553
mmu-miR-92b-3p	MIMAT0004899
hsa-miR-320c	MIMAT0005793
hsa-miR-758-3p	MIMAT0003879
hsa-miR-374a-5p	MIMAT0036589
hsa-miR-539-3p	MIMAT0022705
mmu-miR-337-5p	MIMAT0048385
hsa-miR-651-5p	MIMAT0039632
hsa-miR-758-5p	MIMAT0049118
hsa-miR-3170	MIMAT0015045
hsa-miR-136-5p	MIMAT0036531
mmu-miR-702-3p	MIMAT0003492
hsa-miR-433-3p	MIMAT0001627
hsa-miR-664a-5p	MIMAT0039970
hsa-miR-493-5p	MIMAT0049679
hsa-miR-874-5p	MIMAT0048576
mmu-miR-34a-3p	MIMAT0017022
hsa-miR-377-5p	MIMAT0048420
hsa-miR-513b-5p	MIMAT0039332
hsa-miR-507	MIMAT0002879
hsa-miR-654-5p	MIMAT0049041
hsa-miR-33b-5p	MIMAT0047574
mmu-miR-5110	MIMAT0020618
hsa-miR-323b-3p	MIMAT0015050
mmu-miR-1249-5p	MIMAT0048586
hsa-miR-329-3p	MIMAT0001629
hsa-miR-376c-3p	MIMAT0000720
hsa-miR-154-5p	MIMAT0048272
mmu-miR-423-5p	MIMAT0049715
hsa-miR-377-3p	MIMAT0000730
mmu-miR-1895	MIMAT0007867
mmu-miR-541-5p	MIMAT0049115
mmu-miR-381-5p	MIMAT0049675
hsa-miR-409-5p	MIMAT0049674
hsa-miR-1258	MIMAT0005909
hsa-miR-432-5p	MIMAT0036536
hsa-miR-412-5p	MIMAT0019330
mmu-miR-138-1-3p	MIMAT0004668
hsa-miR-675-3p	MIMAT0006790
hsa-miR-99a-5p	MIMAT0036563
hsa-miR-514b-3p	MIMAT0015088
mmu-miR-3102-3p	MIMAT0014936
hsa-miR-514a-5p	MIMAT0039573
hsa-miR-431-3p	MIMAT0004757
hsa-miR-532-5p	MIMAT0036591
mmu-miR-770-5p	MIMAT0016109
hsa-miR-199a-5p	MIMAT0029450
hsa-miR-541-3p	MIMAT0004920
hsa-miR-125a-5p	MIMAT0044194
hsa-miR-199b-3p	MIMAT0004563
hsa-miR-374b-5p	MIMAT0036583
hsa-miR-493-3p	MIMAT0003161
hsa-miR-369-5p	MIMAT0049114
hsa-miR-496	MIMAT0002818
hsa-miR-380-5p	MIMAT0047863
hsa-miR-485-5p	MIMAT0049037
hsa-miR-125b-2-3p	MIMAT0004603
hsa-miR-29a-5p	MIMAT0049630
hsa-miR-323a-3p	MIMAT0000755
hsa-miR-301b-3p	MIMAT0004958
hsa-miR-539-5p	MIMAT0049117
hsa-miR-487a-5p	MIMAT0048472
mmu-miR-665-3p	MIMAT0003733
hsa-miR-382-5p	MIMAT0049116
hsa-miR-513a-3p	MIMAT0004777
hsa-miR-487a-3p	MIMAT0002178
hsa-miR-656-3p	MIMAT0003332
hsa-miR-30e-5p	MIMAT0003799
hsa-miR-623	MIMAT0003292
hsa-miR-1238-3p	MIMAT0005593
hsa-miR-502-3p	MIMAT0004775
hsa-miR-376a-5p	MIMAT0048413
hsa-miR-572	MIMAT0003237
hsa-miR-376a-2-5p	MIMAT0000729
hsa-miR-4662a-5p	MIMAT0019732
mmu-miR-195a-5p	MIMAT0017000
hsa-miR-411-5p	MIMAT0036490
hsa-let-7c-3p	MIMAT0026472
hsa-miR-379-5p	MIMAT0049047
hsa-miR-877-3p	MIMAT0004950
hsa-miR-664a-3p	MIMAT0005949
mmu-miR-532-3p	MIMAT0004781
hsa-miR-664b-5p	MIMAT0040014
hsa-miR-513a-5p	MIMAT0039333
hsa-miR-381-5p	MIMAT0049675
hsa-miR-138-1-3p	MIMAT0004607
mmu-miR-34c-5p	MIMAT0036575
mmu-miR-466e-3p	MIMAT0004880
rno-miR-150-5p	MIMAT0044310
rno-miR-598-3p	MIMAT0005325
rno-miR-101b-3p	MIMAT0000615
mmu-miR-196b-5p	MIMAT0044059
hsa-miR-675-5p	MIMAT0048003
osa-miR164c	MIMAT0001033
rno-miR-187-3p	MIMAT0000864
mmu-miR-466c-3p	MIMAT0004878
rno-miR-10b-5p	MIMAT0044188
mmu-miR-669c-5p	MIMAT0017253
mmu-miR-222-5p	MIMAT0049657
mmu-miR-181b-5p	MIMAT0044134
dme-let-7	MI0000416
mmu-miR-148a-5p	MIMAT0049656
mmu-miR-1192	MIMAT0005850
mmu-miR-27b-5p	MIMAT0022544
mmu-miR-322-5p	MIMAT0000547
mmu-miR-322-3p	MIMAT0000549
mmu-miR-598-3p	MIMAT0004942
mmu-miR-302b-3p	MIMAT0003374
mmu-miR-466p-3p	MIMAT0014892
hsa-miR-3667-5p	MIMAT0018090
dme-miR-125-3p	MIMAT0020831
mmu-miR-103-2-5p	MIMAT0000546
mmu-miR-467c-5p	MIMAT0017275
hsa-miR-203b-3p	MIMAT0019814
rno-miR-27b-3p	MIMAT0000798
mmu-miR-669a-3p	MIMAT0017243
rno-miR-130a-3p	MIMAT0000836
rno-miR-151-5p	MIMAT0013004
mmu-miR-1907	MIMAT0007876
mmu-miR-298-5p	MIMAT0023882
mmu-miR-181a-1-3p	MIMAT0000660
rno-miR-181a-5p	MIMAT0044090
mmu-miR-223-3p	MIMAT0000665
rno-miR-203b-3p	MIMAT0017800
hsa-miR-454-5p	MIMAT0049398
mmu-miR-291a-5p	MIMAT0000895
mmu-miR-92a-3p	MIMAT0000539
rno-miR-199a-5p	MIMAT0029450
mmu-miR-467d-3p	MIMAT0004887
mmu-miR-467c-3p	MIMAT0017275
rno-miR-34a-5p	MIMAT0036510
mmu-miR-3065-3p	MIMAT0014837
hsa-miR-3661	MIMAT0018082
mmu-miR-466a-3p	MIMAT0002107
hsa-mir-191	MI0000465
mmu-miR-101a-3p	MIMAT0000133
rno-miR-122-5p	MIMAT0036530
mmu-miR-669p-5p	MIMAT0014890
hsa-miR-4657	MIMAT0019724
mmu-miR-181b-1-3p	MIMAT0017067
mmu-miR-467a-5p	MIMAT0002108
mmu-miR-27b-3p	MIMAT0000126
mmu-miR-224-5p	MIMAT0049681
hsa-miR-579-5p	MIMAT0016021
hsa-miR-379-3p	MIMAT0004690
mmu-miR-221-5p	MIMAT0032539
mmu-miR-3100-5p	MIMAT0014920
mmu-miR-467d-5p	MIMAT0004887
rno-miR-202-3p	MIMAT0017355
mmu-miR-467a-3p	MIMAT0002108
hsa-miR-337-5p	MIMAT0048385
rno-miR-191a-5p	MIMAT0013079
hsa-miR-541-5p	MIMAT0049115
rno-miR-143-3p	MIMAT0000849
mmu-miR-383-3p	MIMAT0017082
mmu-miR-423-3p	MIMAT0003454
mmu-miR-466d-3p	MIMAT0004931
mmu-miR-186-3p	MIMAT0004540
rno-miR-532-5p	MIMAT0036591
mmu-miR-151-3p	MIMAT0000161
rno-miR-188-3p	MIMAT0017297
hsa-miR-132-5p	MIMAT0016425
mmu-miR-466b-3p	MIMAT0004876
mmu-miR-126a-5p	MIMAT0029400
mmu-miR-10a-3p	MIMAT0004659
mmu-miR-467b-5p	MIMAT0003478
mmu-miR-669a-5p	MIMAT0017243
mmu-miR-148a-3p	MIMAT0000516
mmu-miR-450a-5p	MIMAT0036475
mmu-miR-188-3p	MIMAT0004541
rno-miR-145-5p	MIMAT0049668
mmu-miR-301b-3p	MIMAT0004186
mmu-miR-101c	MIMAT0019349
mmu-miR-467e-5p	MIMAT0005294
hsa-miR-299-3p	MIMAT0000687
hsa-miR-422a	MIMAT0001339
hsa-mir-136	MI0000475
hsa-miR-98-3p	MIMAT0022842
hsa-miR-873-3p	MIMAT0022717
hsa-miR-432-3p	MIMAT0002815
hsa-miR-708-3p	MIMAT0004927
hsa-miR-338-5p	MIMAT0048673
hsa-miR-30b-5p	MIMAT0036503
mmu-miR-23b-3p	MIMAT0000125
hsa-miR-602	MIMAT0003270
hsa-miR-575	MIMAT0003240
mml-miR-21-3p	MIMAT0026573
hsa-miR-548d-3p	MIMAT0003323
hsa-miR-1306-5p	MIMAT0050232
hsa-miR-3914	MIMAT0018188
hsa-miR-18b-3p	MIMAT0004751
mmu-miR-684	MIMAT0003462
hsa-miR-4513	MIMAT0019050
hsa-miR-181c-5p	MIMAT0036526
hsa-miR-718	MIMAT0012735
hsa-miR-450a-5p	MIMAT0036475
rno-miR-142-3p	MIMAT0000848
mmu-miR-218-5p	MIMAT0036514
hsa-miR-5572	MIMAT0022260
mmu-miR-375-3p	MIMAT0000739
mmu-miR-301a-5p	MIMAT0049593
mmu-miR-683	MIMAT0003461
hsa-miR-4797-3p	MIMAT0019973
mmu-miR-1247-3p	MIMAT0014801
mmu-miR-668-3p	MIMAT0003732
mmu-miR-15a-3p	MIMAT0004624
mmu-miR-29c-3p	MIMAT0000536
hsa-miR-502-5p	MIMAT0047943
mmu-miR-3086-3p	MIMAT0014881
hsa-miR-3619-3p	MIMAT0019219
mmu-miR-466d-5p	MIMAT0017824
mmu-let-7b-3p	MIMAT0004621
mmu-miR-466e-5p	MIMAT0004880
mmu-miR-3086-5p	MIMAT0014881
hsa-miR-4446-3p	MIMAT0018965
mmu-miR-30c-1-3p	MIMAT0004616
hsa-miR-34c-5p	MIMAT0036575
hsa-miR-548a-3p	MIMAT0003251
mmu-miR-3092-3p	MIMAT0014906
mmu-miR-34c-3p	MIMAT0004580
hsa-miR-3665	MIMAT0018087
hsa-miR-532-3p	MIMAT0004780
mmu-miR-1971	MIMAT0009446
hsa-miR-660-3p	MIMAT0022711
mmu-miR-29b-1-5p	MIMAT0000127
mmu-miR-99a-3p	MIMAT0016981
hsa-miR-371b-3p	MIMAT0019893
mmu-miR-5103	MIMAT0020610
hsa-miR-4488	MIMAT0019022
hsa-miR-4763-3p	MIMAT0019913
mmu-miR-369-5p	MIMAT0049114
hsa-miR-505-3p	MIMAT0002876
mmu-miR-697	MIMAT0003487
mmu-miR-467e-3p	MIMAT0005294
mmu-miR-28a-5p	MIMAT0049621
mmu-miR-3092-5p	MIMAT0014906
mmu-miR-214-3p	MIMAT0000661
mmu-miR-3094-3p	MIMAT0014910
mmu-miR-677-3p	MIMAT0017246
hsa-miR-3908	MIMAT0018182
mmu-miR-425-3p	MIMAT0001342
mmu-miR-5107-5p	MIMAT0022985
hsa-miR-4750-5p	MIMAT0022979
mmu-miR-1b-3p	MIMAT0017326
mmu-miR-1224-3p	MIMAT0017231
mmu-miR-465a-5p	MIMAT0004217
mmu-miR-543-3p	MIMAT0003168
mmu-miR-196b-3p	MIMAT0017170
mmu-miR-3085-3p	MIMAT0014879
hsa-miR-188-3p	MIMAT0004613
mmu-miR-339-5p	MIMAT0015842
hsa-miR-3976	MIMAT0019361
hsa-miR-4701-3p	MIMAT0019799
hsa-miR-576-5p	MIMAT0016018
mmu-miR-466m-3p	MIMAT0014883
mmu-miR-133a-3p	MIMAT0000145
mmu-miR-190a-3p	MIMAT0016998
mmu-miR-873a-3p	MIMAT0017279
hsa-miR-4781-3p	MIMAT0019943
mmu-miR-3069-5p	MIMAT0014845
mmu-miR-467b-3p	MIMAT0003478
mmu-miR-362-3p	MIMAT0004684
mmu-miR-148b-3p	MIMAT0000580
hsa-miR-6068	MIMAT0023693
mmu-miR-154-5p	MIMAT0048272
mmu-miR-3473c	MIMAT0020614
hsa-let-7g-3p	MIMAT0004584
mmu-miR-193a-3p	MIMAT0000223
hsa-miR-584-5p	MIMAT0039703
mmu-miR-379-5p	MIMAT0049047
mmu-miR-501-3p	MIMAT0003509
mmu-miR-338-3p	MIMAT0000582
mmu-miR-324-3p	MIMAT0000556
hsa-miR-550a-3p	MIMAT0003257
mmu-miR-674-5p	MIMAT0023999
hsa-miR-3610	MIMAT0017987
mmu-miR-1188-3p	MIMAT0017328
hsa-miR-34a-5p	MIMAT0036510
hsa-miR-448	MIMAT0001532
mmu-miR-1843a-5p	MIMAT0024848
hsa-miR-4797-5p	MIMAT0019973
hsa-miR-548c-3p	MIMAT0003285
hsa-miR-514b-5p	MIMAT0039668
hsa-miR-6746-5p	MIMAT0027393
mmu-miR-9-5p	MIMAT0046780
hsa-miR-627-3p	MIMAT0026623
mmu-miR-691	MIMAT0003470
mmu-miR-344e-3p	MIMAT0014924
mmu-miR-574-5p	MIMAT0049684
mmu-miR-3067-5p	MIMAT0014841
hsa-miR-362-3p	MIMAT0004683
hsa-miR-18b-5p	MIMAT0044342
mmu-miR-328-3p	MIMAT0000565
mmu-miR-204-5p	MIMAT0044029
mmu-miR-325-5p	MIMAT0050113
hsa-miR-4320	MIMAT0016871
mmu-miR-3095-3p	MIMAT0014912
mmu-miR-713	MIMAT0003504
hsa-miR-151a-5p	MIMAT0024107
mmu-miR-3067-3p	MIMAT0014841
hsa-miR-604	MIMAT0003272
hsa-miR-3690	MIMAT0018119
mmu-miR-106a-5p	MIMAT0037721
hsa-miR-1257	MIMAT0005908
mmu-miR-379-3p	MIMAT0017080
mmu-miR-30e-3p	MIMAT0000249
hsa-miR-455-5p	MIMAT0049708
mmu-miR-5616-3p	MIMAT0022360
mmu-miR-3110-5p	MIMAT0014952
mmu-miR-709	MIMAT0003499
mmu-miR-466m-5p	MIMAT0014883
mmu-miR-494-5p	MIMAT0049043
mmu-miR-351-3p	MIMAT0017042
mmu-miR-1904	MIMAT0007874
hsa-miR-1273c	MIMAT0015017
mmu-miR-874-5p	MIMAT0048576
mmu-miR-669h-3p	MIMAT0005842
mmu-miR-883a-5p	MIMAT0004849
mmu-miR-140-3p	MIMAT0000152
hsa-miR-616-3p	MIMAT0004805
mmu-miR-669g	MIMAT0005832
hsa-miR-3925-5p	MIMAT0049359
hsa-miR-1908-5p	MIMAT0016237
mmu-miR-670-5p	MIMAT0048554
mmu-miR-467f	MIMAT0005846
rno-miR-24-3p	MIMAT0000794
mmu-miR-496a-3p	MIMAT0003738
hsa-miR-3940-3p	MIMAT0018356
mmu-miR-674-3p	MIMAT0003741
hsa-miR-770-5p	MIMAT0003948
mmu-miR-350-3p	MIMAT0000605
mmu-miR-671-5p	MIMAT0036579
hsa-miR-597-3p	MIMAT0026619
mmu-let-7d-5p	MIMAT0044195
hsa-miR-4734	MIMAT0019859
mmu-miR-330-3p	MIMAT0000569
mmu-miR-1224-5p	MIMAT0041146
hsa-miR-4485-3p	MIMAT0019019
mmu-miR-3066-3p	MIMAT0014839
hsa-miR-4310	MIMAT0016862
mmu-miR-679-3p	MIMAT0017248
hsa-miR-1302	MIMAT0005890
mmu-miR-466n-3p	MIMAT0014894
hsa-miR-3180	MIMAT0018178
mmu-miR-199a-3p	MIMAT0000230
mmu-miR-145a-3p	MIMAT0004534
hsa-miR-4505	MIMAT0019041
hsa-miR-642a-5p	MIMAT0020924
mmu-miR-344i	MIMAT0022503
hsa-miR-105-3p	MIMAT0004516
hsa-miR-302d-5p	MIMAT0047798
mmu-miR-369-3p	MIMAT0003186
mmu-miR-125b-2-3p	MIMAT0004529
hsa-miR-1469	MIMAT0007347
mmu-miR-20b-3p	MIMAT0004788
hsa-miR-4451	MIMAT0018973
mmu-miR-3069-3p	MIMAT0014845
mmu-miR-5119	MIMAT0020627
hsa-miR-1281	MIMAT0005939
mmu-miR-186-5p	MIMAT0036622
hsa-miR-4707-3p	MIMAT0019808
mmu-miR-543-5p	MIMAT0047972
mmu-miR-880-3p	MIMAT0004844
hsa-miR-1825	MIMAT0006765
mmu-miR-28a-3p	MIMAT0004661
mmu-miR-127-5p	MIMAT0049678
hsa-miR-3605-3p	MIMAT0017982
mmu-miR-291b-3p	MIMAT0003190
mmu-miR-1843a-3p	MIMAT0014806
mmu-let-7f-5p	MIMAT0036527
mmu-miR-22-3p	MIMAT0000531
mmu-miR-183-5p	MIMAT0036573
hsa-miR-6727-5p	MIMAT0027356
mmu-miR-26b-5p	MIMAT0044207
mmu-miR-5625-3p	MIMAT0022380
mmu-miR-1247-5p	MIMAT0036594
mmu-miR-465c-5p	MIMAT0004874
mmu-miR-192-3p	MIMAT0017012
mmu-miR-434-5p	MIMAT0005315
mmu-miR-3060-3p	MIMAT0014827
hsa-miR-660-5p	MIMAT0049689
mmu-miR-1949	MIMAT0009416
mmu-miR-338-5p	MIMAT0048673
mmu-miR-3072-5p	MIMAT0025071
mmu-let-7d	MI0000405
mmu-miR-3072-3p	MIMAT0014853
hsa-miR-517a-3p	MIMAT0002852
mmu-miR-540-3p	MIMAT0003167
hsa-miR-497-5p	MIMAT0036558
mmu-miR-382-5p	MIMAT0049116
hsa-miR-576-3p	MIMAT0004796
mmu-miR-340-3p	MIMAT0000586
hsa-miR-3196	MIMAT0015080
mmu-miR-9-3p	MIMAT0000143
rno-miR-206-3p	MIMAT0000879
mmu-miR-466a-5p	MIMAT0039584
mmu-miR-487b-3p	MIMAT0003184
hsa-miR-4741	MIMAT0019871
mmu-miR-343	MIMAT0004868
mmu-miR-195a-3p	MIMAT0017000
mmu-miR-7a-2-3p	MIMAT0017070
hsa-miR-516b-5p	MIMAT0024292
mmu-miR-883b-5p	MIMAT0004851
mmu-miR-664-3p	MIMAT0012774
rno-miR-17-5p	MIMAT0044301
mmu-miR-324-5p	MIMAT0036596
mmu-miR-149-5p	MIMAT0049706
hsa-miR-3120-5p	MIMAT0042835
mmu-miR-298-3p	MIMAT0017007
mmu-miR-212-3p	MIMAT0000659
mmu-miR-24-2-5p	MIMAT0000219
mmu-miR-5616-5p	MIMAT0022360
mmu-miR-5624-3p	MIMAT0022378
mmu-miR-539-3p	MIMAT0017208
mmu-miR-26b-3p	MIMAT0004630
hsa-miR-3935	MIMAT0018350
rno-miR-20a-3p	MIMAT0000603
hsa-miR-4302	MIMAT0016855
mmu-miR-677-5p	MIMAT0012003
mmu-miR-221-3p	MIMAT0000669
hsa-miR-4466	MIMAT0018993
mmu-miR-183-3p	MIMAT0004539
mmu-miR-7a-5p	MIMAT0046778
mmu-miR-744-3p	MIMAT0004820
mmu-miR-3095-5p	MIMAT0014912
hsa-miR-3160-3p	MIMAT0015034
mmu-miR-331-3p	MIMAT0000571
hsa-miR-4736	MIMAT0019862
mmu-miR-466q	MIMAT0020631
mmu-miR-3068-3p	MIMAT0014843
hsa-miR-767-3p	MIMAT0003883
mmu-miR-103-3p	MIMAT0000546
mmu-miR-99b-5p	MIMAT0036582
mmu-miR-652-3p	MIMAT0003711
mmu-miR-873a-5p	MIMAT0017279
mmu-miR-302a-3p	MIMAT0000380
hsa-miR-3177-5p	MIMAT0015054
mmu-miR-463-3p	MIMAT0004758
hsa-miR-4649-5p	MIMAT0019712
mmu-miR-678	MIMAT0003452
mmu-miR-380-3p	MIMAT0000745
mmu-let-7i	MI0000138
mmu-miR-1961	MIMAT0009434
mmu-miR-5621-3p	MIMAT0022370
mmu-miR-466c-5p	MIMAT0004878
hsa-miR-10b-5p	MIMAT0044188
hsa-miR-1537-3p	MIMAT0007399
mmu-miR-3060-5p	MIMAT0014827
mmu-miR-761	MIMAT0003893
mmu-let-7b	MI0000558
hsa-miR-1538	MIMAT0007400
mmu-miR-19a-3p	MIMAT0000651
mmu-miR-3066-5p	MIMAT0014839
mmu-miR-344d-3p	MIMAT0014808
mmu-miR-3544-3p	MIMAT0022354
mmu-miR-3091-3p	MIMAT0014904
mmu-miR-670-3p	MIMAT0017242
mmu-miR-701-5p	MIMAT0017257
mmu-miR-33-5p	MIMAT0042163
mmu-let-7c-5p	MIMAT0038798
hsa-miR-589-3p	MIMAT0003256
mmu-miR-5621-5p	MIMAT0022370
hsa-miR-4516	MIMAT0019053
mmu-miR-5624-5p	MIMAT0022378
hsa-miR-378f	MIMAT0018932
hsa-miR-520a-5p	MIMAT0015967
mmu-miR-153-5p	MIMAT0046794
hsa-miR-500a-5p	MIMAT0047939
hsa-miR-4670-3p	MIMAT0019751
rno-miR-24-2-5p	MIMAT0000794
mmu-miR-3064-3p	MIMAT0014835
mmu-miR-489-3p	MIMAT0003112
hsa-miR-887-3p	MIMAT0004951
mmu-miR-708-5p	MIMAT0036587
mmu-miR-384-3p	MIMAT0001076
mmu-miR-3068-5p	MIMAT0041159
mmu-let-7g-5p	MIMAT0047485
mmu-miR-200c-3p	MIMAT0000657
mmu-let-7d-3p	MIMAT0000384
mmu-miR-5620-3p	MIMAT0022368
mmu-miR-708-3p	MIMAT0003498
hsa-miR-582-3p	MIMAT0004797
mmu-miR-133b-3p	MIMAT0000769
mmu-miR-5099	MIMAT0020606
hsa-miR-425-5p	MIMAT0036572
hsa-miR-4670-5p	MIMAT0049443
mmu-miR-770-3p	MIMAT0003891
mmu-miR-210-3p	MIMAT0000658
hsa-miR-135a-5p	MIMAT0044328
hsa-miR-607	MIMAT0003275
mmu-miR-340-5p	MIMAT0049696
mmu-miR-693-5p	MIMAT0004189
mmu-miR-3064-5p	MIMAT0040405
mmu-miR-743b-5p	MIMAT0005280
hsa-miR-578	MIMAT0003243
mmu-miR-1839-3p	MIMAT0009457
hsa-miR-4309	MIMAT0016859
hsa-miR-9-5p	MIMAT0046780
hsa-miR-6721-5p	MIMAT0025852
hsa-miR-501-5p	MIMAT0013224
hsa-miR-181d-5p	MIMAT0044234
mmu-miR-711	MIMAT0003501
mmu-miR-30d-3p	MIMAT0017011
mmu-miR-695	MIMAT0003481
hsa-miR-335-5p	MIMAT0036618
mmu-miR-33-3p	MIMAT0004666
hsa-miR-501-3p	MIMAT0004774
mmu-miR-143-3p	MIMAT0000247
mmu-miR-5120	MIMAT0020628
hsa-miR-3177-3p	MIMAT0015054
mmu-miR-701-3p	MIMAT0017257
mmu-miR-505-5p	MIMAT0049714
mmu-miR-100-3p	MIMAT0017051
mmu-miR-503-5p	MIMAT0048500
hsa-miR-4258	MIMAT0016879
hsa-miR-1914-5p	MIMAT0016242
hsa-miR-1262	MIMAT0005914
mmu-miR-2861	MIMAT0013803
mmu-miR-154-3p	MIMAT0004537
mmu-miR-671-3p	MIMAT0004821
mmu-miR-758-5p	MIMAT0049118
mmu-miR-668-5p	MIMAT0040936
mmu-miR-574-3p	MIMAT0004894
hsa-miR-3663-3p	MIMAT0018085
hsa-miR-4530	MIMAT0019069
hsa-miR-3125	MIMAT0014988
hsa-miR-450b-3p	MIMAT0004910
mmu-miR-296-5p	MIMAT0049288
mmu-miR-540-5p	MIMAT0003174
mmu-miR-184-3p	MIMAT0000213
hsa-miR-618	MIMAT0003287
mmu-miR-96-5p	MIMAT0046788
mmu-miR-1306-5p	MIMAT0050232
hsa-miR-4798-5p	MIMAT0024374
hsa-miR-4745-5p	MIMAT0039628
mmu-miR-1893	MIMAT0007879
hsa-miR-4787-5p	MIMAT0019957
mmu-miR-496a-5p	MIMAT0003738
mmu-miR-193b-3p	MIMAT0004859
hsa-miR-4725-3p	MIMAT0019844
mmu-miR-1251-3p	MIMAT0014825
hsa-miR-4745-3p	MIMAT0019879
mmu-miR-532-5p	MIMAT0036591
mmu-miR-137-5p	MIMAT0048754
hsa-miR-1913	MIMAT0007888
hsa-miR-520f-3p	MIMAT0002830
mmu-let-7g	MI0000137
mmu-let-7i-5p	MIMAT0036604
hsa-miR-101-5p	MIMAT0049597
mmu-miR-505-3p	MIMAT0003513
mmu-miR-686	MIMAT0003464
mmu-miR-742-3p	MIMAT0004237
hsa-miR-3180-3p	MIMAT0015058
mmu-miR-3105-5p	MIMAT0014942
mmu-miR-489-5p	MIMAT0048478
mmu-miR-18b-3p	MIMAT0017270
mmu-miR-758-3p	MIMAT0003889
mmu-miR-1892	MIMAT0007871
mmu-miR-29a-3p	MIMAT0000535
hsa-miR-3675-3p	MIMAT0018099
hsa-miR-6131	MIMAT0024615
mmu-miR-434-3p	MIMAT0001422
hsa-miR-4442	MIMAT0018960
hsa-miR-151b	MIMAT0010214
hsa-miR-4787-3p	MIMAT0019957
mmu-miR-20b-5p	MIMAT0044341
hsa-miR-4732-5p	MIMAT0025717
mmu-miR-133b-5p	MIMAT0050180
hsa-miR-6085	MIMAT0023710
mmu-miR-194-2-3p	MIMAT0017073
hsa-miR-3158-3p	MIMAT0015032
hsa-miR-182-5p	MIMAT0032209
rno-miR-19b-3p	MIMAT0000788
mmu-miR-5131	MIMAT0020642
mmu-miR-541-3p	MIMAT0017209
hsa-miR-577	MIMAT0003242
mmu-miR-1198-3p	MIMAT0017332
mmu-miR-200c-5p	MIMAT0048322
hsa-miR-4711-3p	MIMAT0019817
hsa-miR-3156-5p	MIMAT0015030
mmu-miR-877-3p	MIMAT0004862
mmu-miR-1193-3p	MIMAT0005851
mmu-miR-344c-5p	MIMAT0014928
hsa-miR-4652-5p	MIMAT0019717
mmu-miR-293-3p	MIMAT0000371
mmu-miR-339-3p	MIMAT0004649
mmu-let-7a-5p	MIMAT0044081
hsa-miR-3613-3p	MIMAT0017991
mmu-miR-3105-3p	MIMAT0014942
mmu-miR-30a-3p	MIMAT0000129
hsa-miR-181c-3p	MIMAT0004559
mmu-miR-3059-5p	MIMAT0048634
mmu-miR-149-3p	MIMAT0016990
hsa-miR-383-3p	MIMAT0026485
hsa-miR-3936	MIMAT0018351
hsa-miR-760	MIMAT0004957
hsa-miR-570-3p	MIMAT0003235
mmu-miR-206-3p	MIMAT0000239
mmu-miR-196a-2-3p	MIMAT0004618
mmu-miR-491-3p	MIMAT0017255
hsa-miR-30e-3p	MIMAT0000693
mmu-miR-499-3p	MIMAT0017254
